id;TitleEN;ShortdescriptionEN;City;Adres;Zipcode;Latitude;Longitude;Urls;Thumbnail;Tripadvisor ratting;user rating
1;FloraHolland flower auction;FloraHolland in Aalsmeer is the world's largest flower auction, and visitors are invited in to watch the buzzing activity of this impressive auction.  ;AALSMEER;Legmeerdijk 313;1431 GB;52.260684;4.783367;http://www.floraholland.com/nl/over-floraholland/bezoek-de-veiling/aalsmeer/;https://media.iamsterdam.com/ndtrc/Images/20110216/93b27501-1954-4ce2-9874-78705119d23a.jpg;4.5;0
2;Korenmolen De Leeuw;Korenmolen De Leeuw is a grinding windmill that can be found in Aalsmeer, a town located just south of Amsterdam.;AALSMEER;Zijdstraat 28;1431 ED;52.269032;4.746299;http://www.molendeleeuw.nl/;https://media.iamsterdam.com/ndtrc/Images/f7/f7430b9e-2851-48de-9a94-307b96deb1e3/9dcb58b4-929d-4ef9-8638-9cb0bbaa5a19.jpg;4;0
3;Watertoren Aalsmeer;Watertoren Aalsmeer is an elaborately decorated water tower in Aalsmeer, located on the edge of the Westeinderplassen. It was built in the Art Deco style and took two years to construct. ;AALSMEER;Kudelstaartseweg 16;1431 GA;52.255133;4.75796;http://www.aalsmeer-watertoren.nl;https://media.iamsterdam.com/ndtrc/Images/20130225/9fbe3d72-82e8-44cc-8501-df83045a1a64.jpg;4;0
4;Almere Centrum;Almere, still considered the youngest city in the Netherlands, is located just across the IJmeer from Amsterdam. Its modernity makes it a feast for fans of architecture, those after a spot of retail therapy will find a true shopper?s paradise and there?s also PIT, an interactive family museum allowing visitors to explore the work of the fire brigade and police. But don?t forget to venture outside the city to visit the nearby Oostvaardersplassen, a nature reserve offering a delightful day out amongst stunning scenery.;ALMERE;Hospitaalpromenade;1315 XN;52.36969;5.221695;http://www.almerecentrum.nl;https://media.iamsterdam.com/ndtrc/Images/20141016/c61ac26e-789e-420c-bea1-e736e022613c.jpg;4;0
5;Architecture in Almere;When it comes to architecture, Almere ranks an impressive third in the Netherlands, and actually first when looking at modern architecture in European New Towns. The city is home to high profile buildings designed by leading architects including Teun Koolhaas, Herman Hertzbergen and Liesbeth van der Pol. ;ALMERE;De Diagonaal 199;1315 XM;52.369143;5.220023;http://www.vvvalmere.nl/nl/architectuur-almere;https://media.iamsterdam.com/ndtrc/Images/20141016/1228acbb-6999-4d5b-94c5-6e59e83e0757.jpg;4;0
6;De Oostvaardersplassen;The Oostvaardersplassen is a unique nature reserve located between Lelystad and Almere. Comprised of 56 km2 of protected marshlands and fields, it serves as a migration area for birds and makes for an amazing spot for a hike or a day of bird watching.;ALMERE;Oostvaardersbosplaats 1;1336 RZ;52.416323;5.299145;http://www.staatsbosbeheer.nl;https://media.iamsterdam.com/ndtrc/Images/20110510/11116eca-b950-48d5-bb99-e3fffd189d0f.jpg;4.5;0
7;Amsteltuin vineyard;Just a short distance from Amsterdam, you?ll find Amsteltuin vineyard in the residential village of Amstelveen. This green, peaceful location has more than 3,500 grape vines spread across 1.5 hectares. In addition to making delicious and interesting wines, Amsteltuin provides constructive activities and a relaxing environment for people with (temporary) disabilities.;AMSTELVEEN;Langs de Akker 5;1186 DA;52.291302;4.881515;http://www.amsteltuin.nl/;https://media.iamsterdam.com/ndtrc/Images/20101118/35114dc1-00c5-4278-9d1f-054790ad992f.jpg;4.5;0
8;Amsterdamse Bos (Amsterdam Forest);Located on the edge of the city, the Amsterdamse Bos (Amsterdam Forest) is Amsterdam's largest park and recreational area. The lush forests and grassy meadows offer plenty of space for a relaxing picnic with family or friends, and the park is crossed by many kilometres of well-marked walking and cycling paths. ;AMSTELVEEN;Bosbaanweg 5;1182 AG;52.326659;4.849391;http://www.amsterdamsebos.nl;https://media.iamsterdam.com/ndtrc/Images/20101207/41f22437-8484-4d11-bba8-4bcf97b37843.jpg;4.5;0
9;Museum Jan van der Togt;The Museum Jan van der Togt is located in a modern building in Amstelveen, a town just south of Amsterdam. It offers visitors a large collection of modern art that includes paintings, glass works and sculptures. ;AMSTELVEEN;Dorpsstraat;1182 JE;52.302141;4.846416;http://www.jvdtogt.nl,http://www.facebook.com/museumjanvandertogt;https://media.iamsterdam.com/ndtrc/Images/20101206/8863d451-9de3-4e0d-981e-caa83d370031.jpg;4.5;0
10;Rembrandt Hoeve;The Rembrandt Hoeve is a traditional farm specialized in making cheese and clogs. Located just outside Amsterdam in the middle of the Dutch polder, this farm dates back to the 15th century. With windmills and farms dotting the landscape, it?s hard to believe that the farm is only a 10-minute drive from the centre of Amsterdam. The Rembrandt Hoeve is open to visitors seven days a week.;AMSTELVEEN;Amsteldijk Noord 127;1183 TJ;52.319202;4.906375;http://www.rembrandthoeveamsterdam.nl;https://media.iamsterdam.com/ndtrc/Images/20101116/8697a81f-a7f9-4806-a274-faf6f95d046e.jpg;4;0
